FID,Segment,Start_Lati,Start_Long,End_Latitu,End_Longit,Shape_Leng,Kelp_2013,Comments_2,Kelp_2016,Comments_3,Line_Comme,Kelp_2018V,Validation,Date_of_sa,M_pyrifera,N_luetkean,Kelp_2018,Distance_f,Notes_2018,Kelp_2007,Nereocysti,Macrocysti,Date_2019,Macrocys_1,Nereocys_1,Kelp_2007_,Kelp_2019,Notes_Y,K2007binar,k2018binar,change2007,change_not,segment_nu,macro_2020,nereo_2020,kelp_2020
116,120,48.84885556,-125.1272833,48.848875,-125.1268667,30.83704346,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,120,0,0,0
117,121,48.848875,-125.1268667,48.84898056,-125.1264917,30.10207502,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,121,0,0,0
118,122,48.84898056,-125.1264917,48.84911944,-125.1261389,30.3313932,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,122,0,0,0
119,123,48.84911944,-125.1261389,48.84923056,-125.1257694,29.9814106,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,123,0,0,0
120,124,48.84923056,-125.1257694,48.84933056,-125.1253917,30.04830052,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,124,0,0,0
121,125,48.84933056,-125.1253917,48.84939167,-125.1251111,21.81726773,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,125,0,0,0
122,126,48.84939167,-125.1251111,48.84953889,-125.1247694,30.13012845,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,126,0,0,0
123,127,48.84953889,-125.1247694,48.84972778,-125.12445,31.66635564,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,127,0,0,0
124,128,48.84972778,-125.12445,48.84984444,-125.1240806,30.23678034,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,128,0,0,0
125,129,48.84984444,-125.1240806,48.85000556,-125.1237306,31.50810089,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,129,0,0,0
126,130,48.85000556,-125.1237306,48.85021389,-125.1236083,24.99589812,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,130,0,0,0
127,131,48.85021389,-125.1236083,48.85036944,-125.123425,22.04596037,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,131,0,0,0
128,132,48.85036944,-125.123425,48.85048333,-125.1230472,30.66706458,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,132,0,0,0
129,133,48.85048333,-125.1230472,48.85041667,-125.1226861,27.68505101,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,133,0,0,0
130,134,48.85041667,-125.1226861,48.85038056,-125.1222806,30.21125614,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,1,0,2,20190803,0,0,1,0,NA,1,0,1, ,134,0,0,0
131,135,48.85038056,-125.1222806,48.85015,-125.1220722,30.03570624,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,135,0,0,0
132,136,48.85015,-125.1220722,48.850825,-125.1220167,75.62975903,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,136,0,0,0
133,137,48.850825,-125.1220167,48.85107222,-125.1218444,30.44421689,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,137,0,0,0
134,138,48.85107222,-125.1218444,48.85132778,-125.1219778,30.24084385,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,138,0,0,0
135,139,48.85132778,-125.1219778,48.85159444,-125.1220472,30.27061781,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,139,0,0,0
136,140,48.85159444,-125.1220472,48.85185,-125.1221806,30.2408009,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,140,0,0,0
137,141,48.85185,-125.1221806,48.85180556,-125.1225028,24.30283535,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,141,0,0,0
138,142,48.85180556,-125.1225028,48.85161944,-125.1228,30.2505274,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,142,0,0,0
139,143,48.85161944,-125.1228,48.85171667,-125.1231222,26.15802099,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,143,0,0,0
140,144,48.85171667,-125.1231222,48.85185833,-125.1234722,30.31436007,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,144,0,0,0
141,145,48.85185833,-125.1234722,48.85207778,-125.1232361,30.11084462,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,145,0,0,0
142,146,48.85207778,-125.1232361,48.85219167,-125.1228639,30.29060547,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,146,0,0,0
143,147,48.85219167,-125.1228639,48.85244722,-125.1227333,30.17297718,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,147,0,0,0
144,148,48.85244722,-125.1227333,48.85271389,-125.1226694,30.20558925,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,148,0,0,0
145,149,48.85271389,-125.1226694,48.85298056,-125.1226139,30.11495219,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,149,0,0,0
146,150,48.85298056,-125.1226139,48.85323889,-125.1227194,29.93300025,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,150,0,0,0
147,151,48.85323889,-125.1227194,48.85341111,-125.1224056,30.13309161,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,151,0,0,0
148,152,48.85341111,-125.1224056,48.85347778,-125.1220111,30.06589683,1, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,152,0,0,0
149,153,48.85347778,-125.1220111,48.85372222,-125.1218361,30.24624882,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,153,0,0,0
150,154,48.85372222,-125.1218361,48.85396389,-125.1216472,30.42287167,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,154,0,0,0
151,155,48.85396389,-125.1216472,48.854225,-125.1215778,29.65879536,1, ,0, , ,NA,Not in Image,20180814,1,0,1,0.5,very sparse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,155,0,0,0
152,156,48.854225,-125.1215778,48.85426389,-125.1211722,30.25946845,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190803,0,0,2,0,NA,1,0,1, ,156,0,0,0
153,157,48.85426389,-125.1211722,48.85445278,-125.1210694,22.4544666,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,1,2,20190803,0,0,2,0,NA,1,0,1, ,157,0,0,0
154,158,48.85445278,-125.1210694,48.85456111,-125.1206944,30.22237405,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,1,2,20190803,0,0,2,0,NA,1,0,1, ,158,0,0,0
155,159,48.85456111,-125.1206944,48.85433333,-125.1205333,28.12284479,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,159,0,0,0
156,160,48.85433333,-125.1205333,48.85429444,-125.1201528,28.42686685,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,160,0,0,0
157,161,48.85429444,-125.1201528,48.854375,-125.1197611,30.29078587,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,161,0,0,0
158,162,48.854375,-125.1197611,48.85452778,-125.1194222,30.30181832,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,162,0,0,0
159,163,48.85452778,-125.1194222,48.85455,-125.1190139,30.24659831,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,163,0,0,0
160,164,48.85455,-125.1190139,48.85448056,-125.1186417,28.55619022,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190731,0,0,2,0,NA,1,0,1, ,164,0,0,0
161,165,48.85448056,-125.1186417,48.85446111,-125.1183,25.32100871,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190731,0,0,2,0,NA,1,0,1, ,165,0,0,0
162,166,48.85446111,-125.1183,48.85423611,-125.1182889,25.18633754,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,166,0,0,0
163,167,48.85423611,-125.1182889,48.85409722,-125.1179361,30.32997648,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,167,0,0,0
164,168,48.85409722,-125.1179361,48.853825,-125.11795,30.47327539,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,168,0,0,0
165,169,48.853825,-125.11795,48.85378611,-125.1171361,60.2475289,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,169,0,0,0
166,170,48.85378611,-125.1171361,48.85404167,-125.1170139,29.98174219,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,170,0,0,0
167,171,48.85404167,-125.1170139,48.85409444,-125.116589,31.92094594,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,small rocky outcrop with large mussel bed,1,NA,1,20190731,0,0,0,0,NA,1,0,1, ,171,0,0,0
168,172,48.85409444,-125.116589,48.85402778,-125.1162306,27.49149407,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,0,0,0,20190731,0,0,0,0,NA,0,0,2, ,172,0,0,0
169,173,48.85402778,-125.1162306,48.85386944,-125.1159306,28.36199384,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,173,0,0,0
170,174,48.85386944,-125.1159306,48.85364722,-125.1160194,25.71194889,1, ,0, , ,NA,Not in Image,20180814,1,0,1,10,thin strip of M. pyrifera parallel to shore,1,0,1,20190731,0,0,2,0,NA,1,1,0, ,174,0,0,0
171,175,48.85364722,-125.1160194,48.85345556,-125.1160194,21.442987,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,175,0,0,0
172,176,48.85345556,-125.1160194,48.85325,-125.116275,29.74951596,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,1,0,1,20190731,0,0,1,0,NA,1,0,1, ,176,0,0,0
173,177,48.85325,-125.116275,48.85306944,-125.1165806,30.28469905,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,"large bay was past segment #179 was excluded due to lack of shore zone data but on August 14, 2018 was observed to have a sparse bed of M. pyrifera throughout",2,0,2,20190731,0,0,2,0,NA,1,0,1, ,177,0,0,0
174,178,48.85306944,-125.1165806,48.85286667,-125.1168472,30.0348106,1, ,0, ,End of line estimated,NA,Not in Image,20180814,0,0,0,0,coordinates for this site were N 48 51 08.0 W 125 06 58.0,2,0,2,20190731,0,0,2,0,NA,1,0,1, ,178,0,0,0
175,179,48.85653333,-125.109079,48.85680278,-125.1091028,30.19758386,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,179,0,0,0
176,180,48.85680278,-125.1091028,48.85710833,-125.1088667,38.37257332,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,180,0,0,0
177,181,48.85710833,-125.1088667,48.857025,-125.1088722,9.331910811,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,181,1,0,1
178,182,48.857025,-125.1088722,48.85728611,-125.1087472,30.63624465,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,182,0,0,0
179,183,48.85734167,-125.1086667,48.85756111,-125.1084306,30.10938516,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,183,0,0,0
180,184,48.85756111,-125.1084306,48.85767778,-125.1080778,29.13340755,1, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,184,0,0,0
181,185,48.85767778,-125.1080778,48.857625,-125.1076694,30.72303157,1, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,185,0,0,0
182,186,48.857625,-125.1076694,48.857725,-125.1073306,27.40024174,1, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,186,0,0,0
183,187,48.857725,-125.1073306,48.85783333,-125.1070389,24.71120571,1, ,0, , ,NA,Not in Image,20180814,1,0,1,1,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,1,0, ,187,0,0,0
184,188,48.85783333,-125.1070389,48.85805556,-125.1065639,42.98687723,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,188,0,0,0
185,189,48.85805556,-125.1065639,48.85907222,-125.1069833,117.8842178,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,0,2,NA,NA,NA,NA,NA,NA,1,0,1, ,189,0,0,0
186,190,48.85907222,-125.1069833,48.85928056,-125.1070444,23.74182127,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,190,0,0,0
187,191,48.85928056,-125.1070444,48.85934722,-125.1066556,29.65542422,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,191,0,0,0
188,192,48.85934722,-125.1066556,48.85941389,-125.106325,25.5202196,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,192,0,0,0
189,193,48.85941389,-125.106325,48.85961389,-125.1060472,30.35251075,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,193,0,0,0
190,194,48.85961389,-125.1060472,48.85983611,-125.1058083,30.48229772,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,194,0,0,0
191,195,48.85983611,-125.1058083,48.86007222,-125.1056139,30.06289019,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,195,0,0,0
192,196,48.86007222,-125.1056139,48.86031667,-125.1057889,30.2471491,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,196,0,0,0
193,197,48.86031667,-125.1057889,48.86058611,-125.1057583,30.22994073,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,197,0,0,0
194,198,48.86058611,-125.1057583,48.86085556,-125.10575,30.15276827,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,198,0,0,0
195,199,48.86085556,-125.10575,48.86111944,-125.1056611,30.24395928,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,199,0,0,0
196,200,48.86111944,-125.1056611,48.86130833,-125.1053611,30.61151811,1, ,0, , ,NA,Not in Image,20180814,1,0,1,10,sparse bed of M. pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,200,0,0,0
197,201,48.86130833,-125.1053611,48.86154444,-125.105275,27.17028478,1, ,0, , ,NA,Not in Image,20180814,1,0,1,30,sparse bed of M. pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,201,0,0,0
198,202,48.86154444,-125.105275,48.86180833,-125.1051861,30.24504861,1, ,0, , ,NA,Not in Image,20180814,1,0,1,15,1 plant only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,202,0,0,0
199,203,48.86222778,-125.1076778,48.86222778,-125.1076778,0,1, ,0, , ,NA,Not in Image,20180814,0,0,0,0,island,2,2,2,NA,NA,NA,NA,NA,NA,1,0,1, ,203,0,0,0
200,204,48.86356667,-125.1075,48.86380833,-125.1073194,30.14524508,0, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,2, ,204,0,0,0
201,205,48.86404167,-125.1071139,48.86404167,-125.1071139,0,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,2, ,205,0,0,0
202,206,48.86424444,-125.1069417,48.86424444,-125.1069417,0,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,2, ,206,0,0,0
203,207,48.86436389,-125.1064806,48.86436389,-125.1064806,0,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,1,2,NA,NA,NA,NA,NA,NA,1,0,1, ,207,0,0,0
204,208,48.86448056,-125.1061139,48.86448056,-125.1061139,0,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,208,0,0,0
205,209,48.86461111,-125.1057611,48.86461111,-125.1057611,0,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,209,0,0,0
206,210,48.86480833,-125.1054667,48.86480833,-125.1054667,0,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,210,0,0,0
207,211,48.865025,-125.1052306,48.865025,-125.1052306,0,NA, ,0, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,211,0,0,0
208,212,48.865025,-125.1052306,48.86513611,-125.1048528,30.53232829,NA, ,NA, , ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,212,0,0,0
209,213,48.86513611,-125.1048528,48.86521111,-125.10445,30.89378709,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,213,0,0,0
210,214,48.86521111,-125.10445,48.86533056,-125.1040833,30.1871206,NA, ,NA,Not in image, ,NA,Not in Image,20180814,1,0,1,10,small patch around a small rocky outcrop,2,1,2,20190803,0,0,2,0,NA,1,1,0, ,214,0,0,0
211,215,48.86533056,-125.1040833,48.86572778,-125.1035361,60.05412077,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,1,2,20190803,0,0,2,0,NA,1,0,1, ,215,0,0,0
212,216,48.86572778,-125.1035361,48.86583333,-125.1031611,30.09388122,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,216,0,0,0
213,217,48.86583333,-125.1031611,48.86571667,-125.1028694,25.17857294,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,217,0,0,0
214,218,48.86571667,-125.1028694,48.86559722,-125.1025028,30.18037482,NA, ,NA,Not in image, ,NA,Not in Image,20180814,1,0,1,10,sparse,2,NA,2,20190803,0,0,2,0,NA,1,1,0, ,218,0,0,0
215,219,48.86559722,-125.1025028,48.86582222,-125.1017583,60.44568849,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,219,0,0,0
216,220,48.86582222,-125.1017583,48.86599167,-125.1014444,29.93784018,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,220,0,0,0
217,221,48.86599167,-125.1014444,48.866125,-125.1010889,30.18435361,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,221,0,0,0
218,222,48.866125,-125.1010889,48.86628889,-125.1008528,25.29690787,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,222,0,0,0
219,223,48.86628889,-125.1008528,48.86704167,-125.1004056,90.46038576,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,223,0,0,0
220,224,48.86704167,-125.1004056,48.86726944,-125.1003306,26.07783413,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,224,0,0,0
221,225,48.86726944,-125.1003306,48.86716389,-125.09995,30.47388898,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,225,0,0,0
222,226,48.86716389,-125.09995,48.86731667,-125.0996083,30.46811709,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,1,2,20190803,0,0,2,0,NA,1,0,1, ,226,0,0,0
223,227,48.86731667,-125.0996083,48.86739444,-125.0992917,24.93605175,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,227,0,0,0
224,228,48.86739444,-125.0992917,48.867325,-125.0984694,61.19046213,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,1,2,1,NA,1,0,1, ,228,0,0,0
225,229,48.867325,-125.0984694,48.86764722,-125.0978167,60.17194725,1, ,NA,Not in image, ,NA,Not in Image,20180814,1,0,1,5,small patch of M. pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, ,229,0,0,0
226,230,48.86764722,-125.0978167,48.86779167,-125.0974722,30.12928175,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,230,0,0,0
227,231,48.86779167,-125.0974722,48.86801111,-125.09725,29.52568583,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,231,0,0,0
228,232,48.86806667,-125.0975167,48.86827222,-125.09725,30.27203319,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,232,0,0,0
229,233,48.86827222,-125.09725,48.86815833,-125.096875,30.47113884,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,233,0,0,0
230,234,48.86815833,-125.096875,48.86869444,-125.0969806,60.48588433,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,234,0,0,0
231,235,48.86869444,-125.0969806,48.86889722,-125.0971444,25.70791196,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,235,0,0,0
232,236,48.86889722,-125.0971444,48.86913611,-125.09695,30.33563978,1, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA, ,236,0,0,0
233,237,48.86913611,-125.09695,48.86936111,-125.0967167,30.49966011,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,237,0,0,0
234,238,48.86936111,-125.0967167,48.86951944,-125.0963861,30.15323453,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,2, ,238,0,0,0
235,239,48.86951944,-125.0963861,48.86966389,-125.0960389,30.29689915,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,0,1, ,239,0,0,0
236,240,48.86966389,-125.0960389,48.86985833,-125.0957583,30.03647031,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,240,0,0,0
237,241,48.86985833,-125.0957583,48.87005833,-125.0954806,30.3450061,NA, ,NA,Not in image, ,NA,Not in Image,20180814,0,0,0,0,NA,2,NA,2,20190803,0,0,2,0,NA,1,0,1, ,241,0,0,0
